왕상1:1 다윗왕이나이가많아늙으니이불을덮어도따뜻하지아니한지라
왕상7:14 그는납달리지파과부의아들이요그의아버지는두로사람이니놋쇠대장장이라이히람은모든놋일에지혜와총명과재능을구비한자이더니솔로몬왕에게와서그모든공사를하니라
왕상7:15 그가놋기둥둘을만들었으니그높이는각각십팔규빗이라각각십이규빗되는줄을두를만하며
왕상7:16 또놋을녹여부어서기둥머리를만들어기둥꼭대기에두었으니한쪽머리의높이도다섯규빗이요다른쪽머리의높이도다섯규빗이며
왕상7:17 기둥꼭대기에있는머리를위하여바둑판모양으로얽은그물과사슬모양으로땋은것을만들었으니이머리에일곱이요저머리에일곱이라
왕상7:18 기둥을이렇게만들었고또두줄석류를한그물위에둘러만들어서기둥꼭대기에있는머리에두르게하였고다른기둥머리에도그렇게하였으며
왕상7:19 주랑기둥꼭대기에있는머리의네규빗은백합화모양으로만들었으며
왕상7:20 이두기둥머리에있는그물곁곧그머리의공같이둥근곳으로돌아가며각기석류이백개가줄을지었더라
왕상7:21 이두기둥을성전의주랑앞에세우되오른쪽기둥을세우고그이름을야긴이라하고왼쪽의기둥을세우고그이름을보아스라하였으며
왕상7:22 그두기둥꼭대기에는백합화형상이있더라두기둥의공사가끝나니라
왕상7:23 또바다를부어만들었으니그직경이십규빗이요그모양이둥글며그높이는다섯규빗이요주위는삼십규빗줄을두를만하며
왕상7:24 그가장자리아래에는돌아가며박이있는데매규빗에열개씩있어서바다주위에둘렸으니그박은바다를부어만들때에두줄로부어만들었으며
왕상7:25 그바다를소열두마리가받쳤으니셋은북쪽을향하였고셋은서쪽을향하였고셋은남쪽을향하였고셋은동쪽을향하였으며바다를그위에놓았고소의뒤는다안으로두었으며
왕상7:26 바다의두께는한손너비만하고그것의가는백합화의양식으로잔가와같이만들었으니그바다에는이천밧을담겠더라
왕상7:27 또놋으로받침수레열을만들었으니매받침수레의길이가네규빗이요너비가네규빗이요높이가세규빗이라
왕상7:28 그받침수레의구조는이러하니사면옆가장자리가운데에는판이있고
왕상7:29 가장자리가운데판에는사자와소와그룹들이있고또가장자리위에는놓는자리가있고사자와소아래에는화환모양이있으며
왕상7:30 그받침수레에각각네놋바퀴와놋축이있고받침수레네발밑에는어깨같은것이있으며그어깨같은것은물두멍아래쪽에부어만들었고화환은각각그옆에있으며
왕상7:31 그받침수레위로들이켜높이가한규빗되게내민것이있고그면은직경한규빗반되게반원형으로우묵하며그나머지면에는아로새긴것이있으며그내민판들은네모지고둥글지아니하며
왕상7:32 네바퀴는옆판밑에있고바퀴축은받침수레에연결되었는데바퀴의높이는각각한규빗반이며
왕상7:33 그바퀴의구조는병거바퀴의구조같은데그축과테와살과통이다부어만든것이며
왕상7:34 받침수레네모퉁이에어깨같은것넷이있는데그어깨는받침수레와연결되었고
왕상7:35 받침수레위에둥근테두리가있는데높이가반규빗이요또받침수레위의버팀대와옆판들이받침수레와연결되었고
왕상7:36 버팀대판과옆판에는각각빈곳을따라그룹들과사자와종려나무를아로새겼고또그둘레에화환모양이있더라
왕상7:37 이와같이받침수레열개를만들었는데그부어만든법과크기와양식을다동일하게만들었더라
왕상7:38 또물두멍열개를놋으로만들었는데물두멍마다각각사십밧을담게하였으며매물두멍의직경은네규빗이라열받침수레위에각각물두멍이하나씩이더라
왕상7:39 그받침수레다섯은성전오른쪽에두었고다섯은성전왼쪽에두었고성전오른쪽동남쪽에는그바다를두었더라
왕상7:40 히람이또물두멍과부삽과대접들을만들었더라이와같이히람이솔로몬왕을위하여여호와의전의모든일을마쳤으니
왕상7:41 곧기둥둘과그기둥꼭대기의공같은머리둘과또기둥꼭대기의공같은머리를가리는그물둘과
왕상7:42 또그그물들을위하여만든바매그물에두줄씩으로기둥위의공같은두머리를가리게한석류사백개와
왕상7:43 또열개의받침수레와받침수레위의열개의물두멍과
왕상7:44 한바다와그바다아래의소열두마리와
왕상7:45 솥과부삽과대접들이라히람이솔로몬왕을위하여여호와의성전에이모든그릇을빛난놋으로만드니라
왕상7:46 왕이요단평지에서숙곳과사르단사이의차진흙에그것들을부어내었더라
왕상7:47 기구가심히많으므로솔로몬이다달아보지아니하고두었으니그놋무게를능히측량할수없었더라
왕상7:48 솔로몬이또여호와의성전의모든기구를만들었으니곧금단과진설병의금상과
왕상7:49 내소앞에좌우로다섯씩둘정금등잔대며또금꽃과등잔과불집게며
왕상7:50 또정금대접과불집게와주발과숟가락과불을옮기는그릇이며또내소곧지성소문의금돌쩌귀와성전곧외소문의금돌쩌귀더라
왕상7:51 솔로몬왕이여호와의성전을위하여만드는모든일을마친지라이에솔로몬이그의아버지다윗이드린물건곧은과금과기구들을가져다가여호와의성전곳간에두었더라
왕상8:1 이에솔로몬이여호와의언약궤를다윗성곧시온에서메어올리고자하여이스라엘장로와모든지파의우두머리곧이스라엘자손의족장들을예루살렘에있는자기에게로소집하니
왕상8:2 이스라엘모든사람이다에다님월곧일곱째달절기에솔로몬왕에게모이고
왕상8:3 이스라엘장로들이다이르매제사장들이궤를메니라
왕상8:4 여호와의궤와회막과성막안의모든거룩한기구들을메고올라가되제사장과레위사람이그것들을메고올라가매
왕상8:5 솔로몬왕과그앞에모인이스라엘회중이그와함께그궤앞에있어양과소로제사를지냈으니그수가많아기록할수도없고셀수도없었더라
왕상8:6 제사장들이여호와의언약궤를자기의처소로메어들였으니곧성전의내소인지성소그룹들의날개아래라
왕상8:7 그룹들이그궤처소위에서날개를펴서궤와그채를덮었는데
왕상8:8 채가길므로채끝이내소앞성소에서보이나밖에서는보이지아니하며그채는오늘까지그곳에있으며
왕상8:9 그궤안에는두돌판외에아무것도없으니이것은이스라엘자손이애굽땅에서나온후여호와께서저희와언약을맺으실때에모세가호렙에서그안에넣은것이더라
왕상8:10 제사장이성소에서나올때에구름이여호와의성전에가득하매
왕상8:11 제사장이그구름으로말미암아능히서서섬기지못하였으니이는여호와의영광이여호와의성전에가득함이었더라
왕상8:12 그때에솔로몬이이르되여호와께서캄캄한데계시겠다말씀하셨사오나
왕상8:13 내가참으로주를위하여계실성전을건축하였사오니주께서영원히계실처소로소이다하고
왕상8:14 얼굴을돌이켜이스라엘의온회중을위하여축복하니그때에이스라엘의온회중이서있더라
왕상8:15 왕이이르되이스라엘의하나님여호와를송축할지로다여호와께서그의입으로내아버지다윗에게말씀하신것을이제그의손으로이루셨도다이르시기를
왕상8:16 내가내백성이스라엘을애굽에서인도하여낸날부터내이름을둘만한집을건축하기위하여이스라엘모든지파가운데에서아무성읍도택하지아니하고다만다윗을택하여내백성이스라엘을다스리게하였노라하신지라
왕상8:17 내아버지다윗이이스라엘의하나님여호와의이름을위하여성전을건축할마음이있었더니
왕상8:18 여호와께서내아버지다윗에게이르시되네가내이름을위하여성전을건축할마음이있으니이마음이네게있는것이좋도다
왕상8:19 그러나너는그성전을건축하지못할것이요네몸에서낳을네아들그가내이름을위하여성전을건축하리라하시더니
왕상8:20 이제여호와께서말씀하신대로이루시도다내가여호와께서말씀하신대로내아버지다윗을이어서일어나이스라엘의왕위에앉고이스라엘의하나님여호와의이름을위하여성전을건축하고
왕상8:21 내가또그곳에우리조상들을애굽땅에서인도하여내실때에그들과세우신바여호와의언약을넣은궤를위하여한처소를설치하였노라
왕상8:22 솔로몬이여호와의제단앞에서이스라엘의온회중과마주서서하늘을향하여손을펴고
왕상8:23 이르되이스라엘의하나님여호와여위로하늘과아래로땅에주와같은신이없나이다주께서는온마음으로주의앞에서행하는종들에게언약을지키시고은혜를베푸시나이다
왕상8:24 주께서주의종내아버지다윗에게하신말씀을지키사주의입으로말씀하신것을손으로이루심이오늘과같으니이다
왕상8:25 이스라엘의하나님여호와여주께서주의종내아버지다윗에게말씀하시기를네자손이자기길을삼가서네가내앞에서행한것같이내앞에서행하기만하면네게서나서이스라엘의왕위에앉을사람이내앞에서끊어지지아니하리라하셨사오니이제다윗을위하여그하신말씀을지키시옵소서
왕상8:26 그런즉이스라엘의하나님이여원하건대주는주의종내아버지다윗에게하신말씀이확실하게하옵소서
왕상8:27 하나님이참으로땅에거하시리이까하늘과하늘들의하늘이라도주를용납하지못하겠거든하물며내가건축한이성전이오리이까
왕상8:28 그러나내하나님여호와여주의종의기도와간구를돌아보시며이종이오늘주앞에서부르짖음과비는기도를들으시옵소서
왕상8:29 주께서전에말씀하시기를내이름이거기있으리라하신곳이성전을향하여주의눈이주야로보시오며주의종이이곳을향하여비는기도를들으시옵소서
왕상8:30 주의종과주의백성이스라엘이이곳을향하여기도할때에주는그간구함을들으시되주께서계신곳하늘에서들으시고들으시사사하여주옵소서
왕상8:31 만일어떤사람이그이웃에게범죄함으로맹세시킴을받고그가와서이성전에있는주의제단앞에서맹세하거든
왕상8:32 주는하늘에서들으시고행하시되주의종들을심판하사악한자의죄를정하여그행위대로그머리에돌리시고공의로운자를의롭다하사그의의로운바대로갚으시옵소서
왕상8:33 만일주의백성이스라엘이주께범죄하여적국앞에패하게되므로주께로돌아와서주의이름을인정하고이성전에서주께기도하며간구하거든
왕상8:34 주는하늘에서들으시고주의백성이스라엘의죄를사하시고그들의조상들에게주신땅으로돌아오게하옵소서
왕상8:35 만일그들이주께범죄함으로말미암아하늘이닫히고비가없어서주께벌을받을때에이곳을향하여기도하며주의이름을찬양하고그들의죄에서떠나거든
왕상8:36 주는하늘에서들으사주의종들과주의백성이스라엘의죄를사하시고그들이마땅히행할선한길을가르쳐주시오며주의백성에게기업으로주신주의땅에비를내리시옵소서
왕상8:37 만일이땅에기근이나전염병이있거나곡식이시들거나깜부기가나거나메뚜기나황충이나거나적국이와서성읍을에워싸거나무슨재앙이나무슨질병이있든지막론하고
왕상8:38 한사람이나혹주의온백성이스라엘이다각각자기의마음에재앙을깨닫고이성전을향하여손을펴고무슨기도나무슨간구를하거든
왕상8:39 주는계신곳하늘에서들으시고사하시며각사람의마음을아시오니그들의모든행위대로행하사갚으시옵소서주만홀로사람의마음을다아심이니이다
왕상8:40 그리하시면그들이주께서우리조상들에게주신땅에서사는동안에항상주를경외하리이다
왕상8:41 또주의백성이스라엘에속하지아니한자곧주의이름을위하여먼지방에서온이방인이라도
왕상8:42 그들이주의크신이름과주의능한손과주의펴신팔의소문을듣고와서이성전을향하여기도하거든
왕상8:43 주는계신곳하늘에서들으시고이방인이주께부르짖는대로이루사땅의만민이주의이름을알고주의백성이스라엘처럼경외하게하시오며또내가건축한이성전을주의이름으로일컫는줄을알게하옵소서
왕상8:44 주의백성이그들의적국과더불어싸우고자하여주께서보내신길로나갈때에그들이주께서택하신성읍과내가주의이름을위하여건축한성전이있는쪽을향하여여호와께기도하거든
왕상8:45 주는하늘에서그들의기도와간구를들으시고그들의일을돌아보옵소서
왕상8:46 범죄하지아니하는사람이없사오니그들이주께범죄함으로주께서그들에게진노하사그들을적국에게넘기시매적국이그들을사로잡아원근을막론하고적국의땅으로끌어간후에
왕상8:47 그들이사로잡혀간땅에서스스로깨닫고그사로잡은자의땅에서돌이켜주께간구하기를우리가범죄하여반역을행하며악을지었나이다하며
왕상8:48 자기를사로잡아간적국의땅에서온마음과온뜻으로주께돌아와서주께서그들의조상들에게주신땅곧주께서택하신성읍과내가주의이름을위하여건축한성전있는쪽을향하여주께기도하거든
왕상8:49 주는계신곳하늘에서그들의기도와간구를들으시고그들의일을돌아보시오며
왕상8:50 주께범죄한백성을용서하시며주께범한그모든허물을사하시고그들을사로잡아간자앞에서그들로불쌍히여김을얻게하사그사람들로그들을불쌍히여기게하옵소서
왕상8:51 그들은주께서철풀무같은애굽에서인도하여내신주의백성,주의소유가됨이니이다
왕상8:52 원하건대주는눈을들어종의간구함과주의백성이스라엘의간구함을보시고주께부르짖는대로들으시옵소서
왕상8:53 주여호와여주께서우리조상을애굽에서인도하여내실때에주의종모세를통하여말씀하심같이주께서세상만민가운데에서그들을구별하여주의기업으로삼으셨나이다
왕상8:54 솔로몬이무릎을꿇고손을펴서하늘을향하여이기도와간구로여호와께아뢰기를마치고여호와의제단앞에서일어나
왕상8:55 서서큰소리로이스라엘의온회중을위하여축복하며이르되
왕상8:56 여호와를찬송할지로다그가말씀하신대로그의백성이스라엘에게태평을주셨으니그종모세를통하여무릇말씀하신그모든좋은약속이하나도이루어지지아니함이없도다
왕상8:57 우리하나님여호와께서우리조상들과함께계시던것같이우리와함께계시옵고우리를떠나지마시오며버리지마시옵고
왕상8:58 우리의마음을주께로향하여그의모든길로행하게하시오며우리조상들에게명령하신계명과법도와율례를지키게하시기를원하오며
왕상8:59 여호와앞에서내가간구한이말씀이주야로우리하나님여호와께가까이있게하시옵고또주의종의일과주의백성이스라엘의일을날마다필요한대로돌아보사
왕상8:60 이에세상만민에게여호와께서만하나님이시고그외에는없는줄을알게하시기를원하노라
왕상8:61 그런즉너희의마음을우리하나님여호와께온전히바쳐완전하게하여오늘과같이그의법도를행하며그의계명을지킬지어다
왕상8:62 이에왕과및왕과함께한이스라엘이다여호와앞에희생제물을드리니라
왕상8:63 솔로몬이화목제의희생제물을드렸으니곧여호와께드린소가이만이천마리요양이십이만마리라이와같이왕과모든이스라엘자손이여호와의성전의봉헌식을행하였는데
왕상8:64 그날에왕이여호와의성전앞뜰가운데를거룩히구별하고거기서번제와소제와감사제물의기름을드렸으니이는여호와의앞놋제단이작으므로번제물과소제물과화목제의기름을다용납할수없음이라
왕상8:65 그때에솔로몬이칠일과칠일도합십사일간을우리하나님여호와앞에서절기로지켰는데하맛어귀에서부터애굽강까지의온이스라엘의큰회중이모여그와함께하였더니
왕상8:66 여덟째날에솔로몬이백성을돌려보내매백성이왕을위하여축복하고자기장막으로돌아가는데여호와께서그의종다윗과그의백성이스라엘에게베푸신모든은혜로말미암아기뻐하며마음에즐거워하였더라
왕상9:1 솔로몬이여호와의성전과왕궁건축하기를마치며자기가이루기를원하던모든것을마친때에
왕상9:2 여호와께서전에기브온에서나타나심같이다시솔로몬에게나타나사
왕상9:3 여호와께서그에게이르시되네기도와네가내앞에서간구한바를내가들었은즉나는네가건축한이성전을거룩하게구별하여내이름을영원히그곳에두며내눈길과내마음이항상거기에있으리니
왕상9:4 네가만일네아버지다윗이행함같이마음을온전히하고바르게하여내앞에서행하며내가네게명령한대로온갖일에순종하여내법도와율례를지키면
왕상9:5 내가네아버지다윗에게말하기를이스라엘의왕위에오를사람이네게서끊어지지아니하리라한대로네이스라엘의왕위를영원히견고하게하려니와
왕상9:6 만일너희나너희의자손이아주돌아서서나를따르지아니하며내가너희앞에둔나의계명과법도를지키지아니하고가서다른신을섬겨그것을경배하면
왕상9:7 내가이스라엘을내가그들에게준땅에서끊어버릴것이요내이름을위하여내가거룩하게구별한이성전이라도내앞에서던져버리리니이스라엘은모든민족가운데에서속담거리와이야기거리가될것이며
왕상9:8 이성전이높을지라도지나가는자마다놀라며비웃어이르되여호와께서무슨까닭으로이땅과이성전에이같이행하셨는고하면
왕상9:9 대답하기를그들이그들의조상들을애굽땅에서인도하여내신그들의하나님여호와를버리고다른신을따라가서그를경배하여섬기므로여호와께서이모든재앙을그들에게내리심이라하리라하셨더라
왕상9:10 솔로몬이두집곧여호와의성전과왕궁을이십년만에건축하기를마치고
왕상9:11 갈릴리땅의성읍스무곳을히람에게주었으니이는두로왕히람이솔로몬에게그온갖소원대로백향목과잣나무와금을제공하였음이라
왕상9:12 히람이두로에서와서솔로몬이자기에게준성읍들을보고눈에들지아니하여
왕상9:13 이르기를내형제여내게준이성읍들이이러한가하고이름하여가불땅이라하였더니그이름이오늘까지있느니라
왕상9:14 히람이금일백이십달란트를왕에게보내었더라
왕상9:15 솔로몬왕이역군을일으킨까닭은이러하니여호와의성전과자기왕궁과밀로와예루살렘성과하솔과므깃도와게셀을건축하려하였음이라
왕상9:16 전에애굽왕바로가올라와서게셀을탈취하여불사르고그성읍에사는가나안사람을죽이고그성읍을자기딸솔로몬의아내에게예물로주었더니
왕상9:17 솔로몬이게셀과아래벧호론을건축하고
왕상9:18 또바알랏과그땅의들에있는다드몰과
왕상9:19 자기에게있는모든국고성과병거성들과마병의성들을건축하고솔로몬이또예루살렘과레바논과그가다스리는온땅에건축하고자하던것을다건축하였는데
왕상9:20 이스라엘자손이아닌아모리사람과헷사람과브리스사람과히위사람과여부스사람중남아있는모든사람
왕상9:21 곧이스라엘자손이다멸하지못하므로그땅에남아있는그들의자손들을솔로몬이노예로역군을삼아오늘까지이르렀으되
왕상9:22 다만이스라엘자손은솔로몬이노예를삼지아니하였으니그들은군사와그신하와고관과대장이며병거와마병의지휘관이됨이었더라
왕상9:23 솔로몬에게일을감독하는우두머리오백오십명이있어일하는백성을다스렸더라
왕상9:24 바로의딸이다윗성에서부터올라와솔로몬이그를위하여건축한궁에이를때에솔로몬이밀로를건축하였더라
왕상9:25 솔로몬이여호와를위하여쌓은제단위에해마다세번씩번제와감사의제물을드리고또여호와앞에있는제단에분향하니라이에성전짓는일을마치니라
왕상9:26 솔로몬왕이에돔땅홍해물가의엘롯근처에시온게벨에서배들을지은지라
왕상9:27 히람이자기종곧바다에익숙한사공들을솔로몬의종과함께그배로보내매
왕상9:28 그들이오빌에이르러거기서금사백이십달란트를얻고솔로몬왕에게로가져왔더라
왕상10:1 스바의여왕이여호와의이름으로말미암은솔로몬의명성을듣고와서어려운문제로그를시험하고자하여
왕상10:2 예루살렘에이르니수행하는자가심히많고향품과심히많은금과보석을낙타에실었더라그가솔로몬에게나아와자기마음에있는것을다말하매
왕상10:3 솔로몬이그가묻는말에다대답하였으니왕이알지못하여대답하지못한것이하나도없었더라
왕상10:4 스바의여왕이솔로몬의모든지혜와그건축한왕궁과
왕상10:5 그상의식물과그의신하들의좌석과그의시종들이시립한것과그들의관복과술관원들과여호와의성전에올라가는층계를보고크게감동되어
왕상10:6 왕께말하되내가내나라에서당신의행위와당신의지혜에대하여들은소문이사실이로다
왕상10:7 내가그말들을믿지아니하였더니이제와서친히본즉내게말한것은절반도못되니당신의지혜와복이내가들은소문보다더하도다
왕상10:8 복되도다당신의사람들이여복되도다당신의이신하들이여항상당신앞에서서당신의지혜를들음이로다
왕상10:9 당신의하나님여호와를송축할지로다여호와께서당신을기뻐하사이스라엘왕위에올리셨고여호와께서영원히이스라엘을사랑하시므로당신을세워왕으로삼아정의와공의를행하게하셨도다하고
왕상10:10 이에그가금일백이십달란트와심히많은향품과보석을왕에게드렸으니스바의여왕이솔로몬왕에게드린것처럼많은향품이다시오지아니하였더라
왕상10:11 오빌에서부터금을실어온히람의배들이오빌에서많은백단목과보석을운반하여오매
왕상10:12 왕이백단목으로여호와의성전과왕궁의난간을만들고또노래하는자를위하여수금과비파를만들었으니이같은백단목은전에도온일이없었고오늘까지도보지못하였더라
왕상10:13 솔로몬왕이왕의규례대로스바의여왕에게물건을준것외에또그의소원대로구하는것을주니이에그가그의신하들과함께본국으로돌아갔더라
왕상10:14 솔로몬의세입금의무게가금육백육십육달란트요
왕상10:15 그외에또상인들과무역하는객상과아라비아의모든왕들과나라의고관들에게서도가져온지라
왕상10:16 솔로몬왕이쳐서늘인금으로큰방패이백개를만들었으니매방패에든금이육백세겔이며
왕상10:17 또쳐서늘인금으로작은방패삼백개를만들었으니매방패에든금이삼마네라왕이이것들을레바논나무궁에두었더라
왕상10:18 왕이또상아로큰보좌를만들고정금으로입혔으니
왕상10:19 그보좌에는여섯층계가있고보좌뒤에둥근머리가있고앉는자리양쪽에는팔걸이가있고팔걸이곁에는사자가하나씩서있으며
왕상10:20 또열두사자가있어그여섯층계좌우편에서있으니어느나라에도이같이만든것이없었더라
왕상10:21 솔로몬왕이마시는그릇은다금이요레바논나무궁의그릇들도다정금이라은기물이없으니솔로몬의시대에은을귀히여기지아니함은
왕상10:22 왕이바다에다시스배들을두어히람의배와함께있게하고그다시스배로삼년에한번씩금과은과상아와원숭이와공작을실어왔음이더라
왕상10:23 솔로몬왕의재산과지혜가세상의그어느왕보다큰지라
왕상10:24 온세상사람들이다하나님께서솔로몬의마음에주신지혜를들으며그의얼굴을보기원하여
왕상10:25 그들이각기예물을가지고왔으니곧은그릇과금그릇과의복과갑옷과향품과말과노새라해마다그리하였더라
왕상10:26 솔로몬이병거와마병을모으매병거가천사백대요마병이만이천명이라병거성에도두고예루살렘왕에게도두었으며
왕상10:27 왕이예루살렘에서은을돌같이흔하게하고백향목을평지의뽕나무같이많게하였더라
왕상10:28 솔로몬의말들은애굽에서들여왔으니왕의상인들이값주고산것이며
왕상10:29 애굽에서들여온병거는한대에은육백세겔이요말은한필에백오십세겔이라이와같이헷사람의모든왕과아람왕들에게그것들을되팔기도하였더라
왕상11:1 솔로몬왕이바로의딸외에이방의많은여인을사랑하였으니곧모압과암몬과에돔과시돈과헷여인이라
왕상11:2 여호와께서일찍이이여러백성에대하여이스라엘자손에게말씀하시기를너희는그들과서로통혼하지말며그들도너희와서로통혼하게하지말라그들이반드시너희의마음을돌려그들의신들을따르게하리라하셨으나솔로몬이그들을사랑하였더라
왕상11:3 왕은후궁이칠백명이요첩이삼백명이라그의여인들이왕의마음을돌아서게하였더라
왕상11:4 솔로몬의나이가많을때에그의여인들이그의마음을돌려다른신들을따르게하였으므로왕의마음이그의아버지다윗의마음과같지아니하여그의하나님여호와앞에온전하지못하였으니
왕상11:5 이는시돈사람의여신아스다롯을따르고암몬사람의가증한밀곰을따름이라
왕상11:6 솔로몬이여호와의눈앞에서악을행하여그의아버지다윗이여호와를온전히따름같이따르지아니하고
왕상11:7 모압의가증한그모스를위하여예루살렘앞산에산당을지었고또암몬자손의가증한몰록을위하여그와같이하였으며
왕상11:8 그가또그의이방여인들을위하여다그와같이한지라그들이자기의신들에게분향하며제사하였더라
왕상11:9 솔로몬이마음을돌려이스라엘의하나님여호와를떠나므로여호와께서그에게진노하시니라여호와께서일찍이두번이나그에게나타나시고
왕상11:10 이일에대하여명령하사다른신을따르지말라하셨으나그가여호와의명령을지키지않았으므로
왕상11:11 여호와께서솔로몬에게말씀하시되네게이러한일이있었고또네가내언약과내가네게명령한법도를지키지아니하였으니내가반드시이나라를네게서빼앗아네신하에게주리라
왕상11:12 그러나네아버지다윗을위하여네세대에는이일을행하지아니하고네아들의손에서빼앗으려니와
왕상11:13 오직내가이나라를다빼앗지아니하고내종다윗과내가택한예루살렘을위하여한지파를네아들에게주리라하셨더라
왕상11:14 여호와께서에돔사람하닷을일으켜솔로몬의대적이되게하시니그는왕의자손으로서에돔에거하였더라
왕상11:15 전에다윗이에돔에있을때에군대지휘관요압이가서죽임을당한자들을장사하고에돔의남자를다쳐서죽였는데
왕상11:16 요압은에돔의남자를다없애기까지이스라엘무리와함께여섯달동안그곳에머물렀더라
왕상11:17 그때에하닷은작은아이라그의아버지신하중에돔사람몇몇과함께도망하여애굽으로가려하여
왕상11:18 미디안을떠나바란에이르고거기서사람을데리고애굽으로가서애굽왕바로에게나아가매바로가그에게집과먹을양식을주며또토지를주었더라
왕상11:19 하닷이바로의눈앞에크게은총을얻었으므로바로가자기의처제곧왕비다브네스의아우를그의아내로삼으매
왕상11:20 다브네스의아우가그로말미암아아들그누밧을낳았더니다브네스가그아이를바로의궁중에서젖을떼게하매그누밧이바로의궁에서바로의아들가운데있었더라
왕상11:21 하닷이애굽에있어서다윗이그의조상들과함께잔것과군대지휘관요압이죽은것을듣고바로에게아뢰되나를보내어내고국으로가게하옵소서
왕상11:22 바로가그에게이르되네가나와함께있어무슨부족함이있기에네고국으로가기를구하느냐대답하되없나이다그러나아무쪼록나를보내옵소서하였더라
왕상11:23 하나님이또엘리아다의아들르손을일으켜솔로몬의대적자가되게하시니그는그의주인소바왕하닷에셀에게서도망한자라
왕상11:24 다윗이소바사람을죽일때에르손이사람들을자기에게모으고그무리의괴수가되어다메섹으로가서살다가거기서왕이되었더라
왕상11:25 솔로몬의일평생에하닷이끼친환난외에르손이수리아왕이되어이스라엘을대적하고미워하였더라
왕상11:26 솔로몬의신하느밧의아들여로보암이또한손을들어왕을대적하였으니그는에브라임족속인스레다사람이요그의어머니의이름은스루아이니과부더라
왕상11:27 그가손을들어왕을대적하는까닭은이러하니라솔로몬이밀로를건축하고그의아버지다윗의성읍이무너진것을수축하였는데
왕상11:28 이사람여로보암은큰용사라솔로몬이이청년의부지런함을보고세워요셉족속의일을감독하게하였더니
왕상11:29 그즈음에여로보암이예루살렘에서나갈때에실로사람선지자아히야가길에서그를만나니아히야가새의복을입었고그두사람만들에있었더라
왕상11:30 아히야가자기가입은새옷을잡아열두조각으로찢고
왕상11:31 여로보암에게이르되너는열조각을가지라이스라엘의하나님여호와의말씀이내가이나라를솔로몬의손에서찢어빼앗아열지파를네게주고
왕상11:32 오직내종다윗을위하고이스라엘모든지파중에서택한성읍예루살렘을위하여한지파를솔로몬에게주리니
왕상11:33 이는그들이나를버리고시돈사람의여신아스다롯과모압의신그모스와암몬자손의신밀곰을경배하며그의아버지다윗이행함같지아니하여내길로행하지아니하며나보기에정직한일과내법도와내율례를행하지아니함이니라
왕상11:34 그러나내가택한내종다윗이내명령과내법도를지켰으므로내가그를위하여솔로몬의생전에는온나라를그의손에서빼앗지아니하고주관하게하려니와
왕상11:35 내가그의아들의손에서나라를빼앗아그열지파를네게줄것이요
왕상11:36 그의아들에게는내가한지파를주어서내가거기에내이름을두고자하여택한성읍예루살렘에서내종다윗이항상내앞에등불을가지고있게하리라
왕상11:37 내가너를취하리니너는네마음에원하는대로다스려이스라엘위에왕이되되
왕상11:38 네가만일내가명령한모든일에순종하고내길로행하며내눈에합당한일을하며내종다윗이행함같이내율례와명령을지키면내가너와함께있어내가다윗을위하여세운것같이너를위하여견고한집을세우고이스라엘을네게주리라
왕상11:39 내가이로말미암아다윗의자손을괴롭게할것이나영원히하지는아니하리라한지라
왕상11:40 이러므로솔로몬이여로보암을죽이려하매여로보암이일어나애굽으로도망하여애굽왕시삭에게이르러솔로몬이죽기까지애굽에있으니라
왕상11:41 솔로몬의남은사적과그의행한모든일과그의지혜는솔로몬의실록에기록되지아니하였느냐
왕상11:42 솔로몬이예루살렘에서온이스라엘을다스린날수가사십년이라
왕상11:43 솔로몬이그의조상들과함께자매그의아버지다윗의성읍에장사되고그의아들르호보암이대신하여왕이되니라
왕상12:1 르호보암이세겜으로갔으니이는온이스라엘이그를왕으로삼고자하여세겜에이르렀음이더라
왕상12:2 느밧의아들여로보암이전에솔로몬왕의얼굴을피하여애굽으로도망하여있었더니이제그소문을듣고여전히애굽에있는중에
왕상12:3 무리가사람을보내그를불렀더라여로보암과이스라엘의온회중이와서르호보암에게말하여이르되
왕상12:4 왕의아버지가우리의멍에를무겁게하였으나왕은이제왕의아버지가우리에게시킨고역과메운무거운멍에를가볍게하소서그리하시면우리가왕을섬기겠나이다
왕상12:5 르호보암이대답하되갔다가삼일후에다시내게로오라하매백성이가니라
왕상12:6 르호보암왕이그의아버지솔로몬의생전에그앞에모셨던노인들과의논하여이르되너희는어떻게충고하여이백성에게대답하게하겠느냐
왕상12:7 대답하여이르되왕이만일오늘이백성을섬기는자가되어그들을섬기고좋은말로대답하여이르시면그들이영원히왕의종이되리이다하나
왕상12:8 왕이노인들이자문하는것을버리고자기앞에모셔있는자기와함께자라난어린사람들과의논하여
왕상12:9 이르되너희는어떻게자문하여이백성에게대답하게하겠느냐백성이내게말하기를왕의아버지가우리에게메운멍에를가볍게하라하였느니라
왕상12:10 함께자라난소년들이왕께아뢰어이르되이백성들이왕께아뢰기를왕의부친이우리의멍에를무겁게하였으나왕은우리를위하여가볍게하라하였은즉왕은대답하기를내새끼손가락이내아버지의허리보다굵으니
왕상12:11 내아버지께서너희에게무거운멍에를메게하였으나이제나는너희의멍에를더욱무겁게할지라내아버지는채찍으로너희를징계하였으나나는전갈채찍으로너희를징계하리라하소서
왕상12:12 삼일만에여로보암과모든백성이르호보암에게나아왔으니이는왕이명령하여이르기를삼일만에내게로다시오라하였음이라
