히1:1 옛적에선지자들을통하여여러부분과여러모양으로우리조상들에게말씀하신하나님이
히12:17 너희가아는바와같이그가그후에축복을이어받으려고눈물을흘리며구하되버린바가되어회개할기회를얻지못하였느니라
히12:18 너희는만질수있고불이붙는산과침침함과흑암과폭풍과
히12:19 나팔소리와말하는소리가있는곳에이른것이아니라그소리를듣는자들은더말씀하지아니하시기를구하였으니
히12:20 이는짐승이라도그산에들어가면돌로침을당하리라하신명령을그들이견디지못함이라
히12:21 그보이는바가이렇듯무섭기로모세도이르되내가심히두렵고떨린다하였느니라
히12:22 그러나너희가이른곳은시온산과살아계신하나님의도성인하늘의예루살렘과천만천사와
히12:23 하늘에기록된장자들의모임과교회와만민의심판자이신하나님과및온전하게된의인의영들과
히12:24 새언약의중보자이신예수와및아벨의피보다더나은것을말하는뿌린피니라
히12:25 너희는삼가말씀하신이를거역하지말라땅에서경고하신이를거역한그들이피하지못하였거든하물며하늘로부터경고하신이를배반하는우리일까보냐
히12:26 그때에는그소리가땅을진동하였거니와이제는약속하여이르시되내가또한번땅만아니라하늘도진동하리라하셨느니라
히12:27 이또한번이라하심은진동하지아니하는것을영존하게하기위하여진동할것들곧만드신것들이변동될것을나타내심이라
히12:28 그러므로우리가흔들리지않는나라를받았은즉은혜를받자이로말미암아경건함과두려움으로하나님을기쁘시게섬길지니
히12:29 우리하나님은소멸하는불이심이라
히13:1 형제사랑하기를계속하고
히13:2 손님대접하기를잊지말라이로써부지중에천사들을대접한이들이있었느니라
히13:3 너희도함께갇힌것같이갇힌자를생각하고너희도몸을가졌은즉학대받는자를생각하라
히13:4 모든사람은결혼을귀히여기고침소를더럽히지않게하라음행하는자들과간음하는자들을하나님이심판하시리라
히13:5 돈을사랑하지말고있는바를족한줄로알라그가친히말씀하시기를내가결코너희를버리지아니하고너희를떠나지아니하리라하셨느니라
히13:6 그러므로우리가담대히말하되주는나를돕는이시니내가무서워하지아니하겠노라사람이내게어찌하리요하노라
히13:7 하나님의말씀을너희에게일러주고너희를인도하던자들을생각하며그들의행실의결말을주의하여보고그들의믿음을본받으라
히13:8 예수그리스도는어제나오늘이나영원토록동일하시니라
히13:9 여러가지다른교훈에끌리지말라마음은은혜로써굳게함이아름답고음식으로써할것이아니니음식으로말미암아행한자는유익을얻지못하였느니라
히13:10 우리에게제단이있는데장막에서섬기는자들은그제단에서먹을권한이없나니
히13:11 이는죄를위한짐승의피는대제사장이가지고성소에들어가고그육체는영문밖에서불사름이라
히13:12 그러므로예수도자기피로써백성을거룩하게하려고성문밖에서고난을받으셨느니라
히13:13 그런즉우리도그의치욕을짊어지고영문밖으로그에게나아가자
히13:14 우리가여기에는영구한도성이없으므로장차올것을찾나니
히13:15 그러므로우리는예수로말미암아항상찬송의제사를하나님께드리자이는그이름을증언하는입술의열매니라
히13:16 오직선을행함과서로나누어주기를잊지말라하나님은이같은제사를기뻐하시느니라
히13:17 너희를인도하는자들에게순종하고복종하라그들은너희영혼을위하여경성하기를자신들이청산할자인것같이하느니라그들로하여금즐거움으로이것을하게하고근심으로하게하지말라그렇지않으면너희에게유익이없느니라
히13:18 우리를위하여기도하라우리가모든일에선하게행하려하므로우리에게선한양심이있는줄을확신하노니
히13:19 내가더속히너희에게돌아가기위하여너희가기도하기를더욱원하노라
히13:20 양들의큰목자이신우리주예수를영원한언약의피로죽은자가운데서이끌어내신평강의하나님이
히13:21 모든선한일에너희를온전하게하사자기뜻을행하게하시고그앞에즐거운것을예수그리스도로말미암아우리가운데서이루시기를원하노라영광이그에게세세무궁토록있을지어다아멘
히13:22 형제들아내가너희를권하노니권면의말을용납하라내가간단히너희에게썼느니라
히13:23 우리형제디모데가놓인것을너희가알라그가속히오면내가그와함께가서너희를보리라
히13:24 너희를인도하는자들과및모든성도들에게문안하라이달리야에서온자들도너희에게문안하느니라
히13:25 은혜가너희모든사람에게있을지어다2)
