출1:1 야곱과함께각각자기가족을데리고애굽에이른이스라엘아들들의이름은이러하니
출10:3 모세와아론이바로에게들어가서그에게이르되히브리사람의하나님여호와께서말씀하시기를네가어느때까지내앞에겸비하지아니하겠느냐내백성을보내라그들이나를섬길것이라
출10:4 네가만일내백성보내기를거절하면내일내가메뚜기를네경내에들어가게하리니
출10:5 메뚜기가지면을덮어서사람이땅을볼수없을것이라메뚜기가네게남은그것곧우박을면하고남은것을먹으며너희를위하여들에서자라나는모든나무를먹을것이며
출10:6 또네집들과네모든신하의집들과모든애굽사람의집들에가득하리니이는네아버지와네조상이이땅에있었던그날로부터오늘까지보지못하였던것이리라하셨다하고돌이켜바로에게서나오니
출10:7 바로의신하들이그에게말하되어느때까지이사람이우리의함정이되리이까그사람들을보내어그들의하나님여호와를섬기게하소서왕은아직도애굽이망한줄을알지못하시나이까하고
출10:8 모세와아론을바로에게로다시데려오니바로가그들에게이르되가서너희의하나님여호와를섬기라갈자는누구누구냐
출10:9 모세가이르되우리가여호와앞에절기를지킬것인즉우리가남녀노소와양과소를데리고가겠나이다
출10:10 바로가그들에게이르되내가너희와너희의어린아이들을보내면여호와가너희와함께함과같으니라보라그것이너희에게는나쁜것이니라
출10:11 그렇게하지말고너희장정만가서여호와를섬기라이것이너희가구하는바니라이에그들이바로앞에서쫓겨나니라
출10:12 여호와께서모세에게이르시되애굽땅위에네손을내밀어메뚜기를애굽땅에올라오게하여우박에상하지아니한밭의모든채소를먹게하라
출10:13 모세가애굽땅위에그지팡이를들매여호와께서동풍을일으켜온낮과온밤에불게하시니아침이되매동풍이메뚜기를불어들인지라
출10:14 메뚜기가애굽온땅에이르러그사방에내리매그피해가심하니이런메뚜기는전에도없었고후에도없을것이라
출10:15 메뚜기가온땅을덮어땅이어둡게되었으며메뚜기가우박에상하지아니한밭의채소와나무열매를다먹었으므로애굽온땅에서나무나밭의채소나푸른것은남지아니하였더라
출10:16 바로가모세와아론을급히불러이르되내가너희의하나님여호와와너희에게죄를지었으니
출10:17 바라건대이번만나의죄를용서하고너희의하나님여호와께구하여이죽음만은내게서떠나게하라
출10:18 그가바로에게서나가서여호와께구하매
출10:19 여호와께서돌이켜강렬한서풍을불게하사메뚜기를홍해에몰아넣으시니애굽온땅에메뚜기가하나도남지아니하니라
출10:20 그러나여호와께서바로의마음을완악하게하셨으므로이스라엘자손을보내지아니하였더라
출10:21 여호와께서모세에게이르시되하늘을향하여네손을내밀어애굽땅위에흑암이있게하라곧더듬을만한흑암이리라
출10:22 모세가하늘을향하여손을내밀매캄캄한흑암이삼일동안애굽온땅에있어서
출10:23 그동안은사람들이서로볼수없으며자기처소에서일어나는자가없으되온이스라엘자손들이거주하는곳에는빛이있었더라
출10:24 바로가모세를불러서이르되너희는가서여호와를섬기되너희의양과소는머물러두고너희어린것들은너희와함께갈지니라
출10:25 모세가이르되왕이라도우리하나님여호와께드릴제사와번제물을우리에게주어야하겠고
출10:26 우리의가축도우리와함께가고한마리도남길수없으니이는우리가그중에서가져다가우리하나님여호와를섬길것임이며또우리가거기에이르기까지는어떤것으로여호와를섬길는지알지못함이니이다하나
출10:27 여호와께서바로의마음을완악하게하셨으므로그들보내기를기뻐하지아니하고
출10:28 바로가모세에게이르되너는나를떠나가고스스로삼가다시내얼굴을보지말라네가내얼굴을보는날에는죽으리라
출10:29 모세가이르되당신이말씀하신대로내가다시는당신의얼굴을보지아니하리이다
출11:1 여호와께서모세에게이르시기를내가이제한가지재앙을바로와애굽에내린후에야그가너희를여기서내보내리라그가너희를내보낼때에는여기서반드시다쫓아내리니
출11:2 백성에게말하여사람들에게각기이웃들에게은금패물을구하게하라하시더니
출11:3 여호와께서그백성으로애굽사람의은혜를받게하셨고또그사람모세는애굽땅에있는바로의신하와백성의눈에아주위대하게보였더라
출11:4 모세가바로에게이르되여호와께서이와같이말씀하시기를밤중에내가애굽가운데로들어가리니
출11:5 애굽땅에있는모든처음난것은왕위에앉아있는바로의장자로부터맷돌뒤에있는몸종의장자와모든가축의처음난것까지죽으리니
출11:6 애굽온땅에전무후무한큰부르짖음이있으리라
출11:7 그러나이스라엘자손에게는사람에게나짐승에게나개한마리도그혀를움직이지아니하리니여호와께서애굽사람과이스라엘사이를구별하는줄을너희가알리라하셨나니
출11:8 왕의이모든신하가내게내려와내게절하며이르기를너와너를따르는온백성은나가라한후에야내가나가리라하고심히노하여바로에게서나오니라
출11:9 여호와께서모세에게이르시기를바로가너희의말을듣지아니하리라그러므로내가애굽땅에서나의기적을더하리라하셨고
출11:10 모세와아론이이모든기적을바로앞에서행하였으나여호와께서바로의마음을완악하게하셨으므로그가이스라엘자손을그나라에서보내지아니하였더라
출12:1 여호와께서애굽땅에서모세와아론에게일러말씀하시되
출12:2 이달을너희에게달의시작곧해의첫달이되게하고
출12:3 너희는이스라엘온회중에게말하여이르라이달열흘에너희각자가어린양을잡을지니각가족대로그식구를위하여어린양을취하되
출12:4 그어린양에대하여식구가너무적으면그집의이웃과함께사람수를따라서하나를잡고각사람이먹을수있는분량에따라서너희어린양을계산할것이며
출12:5 너희어린양은흠없고일년된수컷으로하되양이나염소중에서취하고
출12:6 이달열나흗날까지간직하였다가해질때에이스라엘회중이그양을잡고
출12:7 그피를양을먹을집좌우문설주와인방에바르고
출12:8 그밤에그고기를불에구워무교병과쓴나물과아울러먹되
출12:9 날것으로나물에삶아서먹지말고머리와다리와내장을다불에구워먹고
출12:10 아침까지남겨두지말며아침까지남은것은곧불사르라
출12:11 너희는그것을이렇게먹을지니허리에띠를띠고발에신을신고손에지팡이를잡고급히먹으라이것이여호와의유월절이니라
출12:12 내가그밤에애굽땅에두루다니며사람이나짐승을막론하고애굽땅에있는모든처음난것을다치고애굽의모든신을내가심판하리라나는여호와라
출12:13 내가애굽땅을칠때에그피가너희가사는집에있어서너희를위하여표적이될지라내가피를볼때에너희를넘어가리니재앙이너희에게내려멸하지아니하리라
출12:14 너희는이날을기념하여여호와의절기를삼아영원한규례로대대로지킬지니라
출12:15 너희는이레동안무교병을먹을지니그첫날에누룩을너희집에서제하라무릇첫날부터일곱째날까지유교병을먹는자는이스라엘에서끊어지리라
출12:16 너희에게첫날에도성회요일곱째날에도성회가되리니너희는이두날에는아무일도하지말고각자의먹을것만갖출것이니라
출12:17 너희는무교절을지키라이날에내가너희군대를애굽땅에서인도하여내었음이니라그러므로너희가영원한규례로삼아대대로이날을지킬지니라
출12:18 첫째달그달열나흗날저녁부터이십일일저녁까지너희는무교병을먹을것이요
출12:19 이레동안은누룩이너희집에서발견되지아니하도록하라무릇유교물을먹는자는타국인이든지본국에서난자든지를막론하고이스라엘회중에서끊어지리니
출12:20 너희는아무유교물이든지먹지말고너희모든유하는곳에서무교병을먹을지니라
출12:21 모세가이스라엘모든장로를불러서그들에게이르되너희는나가서너희의가족대로어린양을택하여유월절양으로잡고
출12:22 우슬초묶음을가져다가그릇에담은피에적셔서그피를문인방과좌우설주에뿌리고아침까지한사람도자기집문밖에나가지말라
출12:23 여호와께서애굽사람들에게재앙을내리려고지나가실때에문인방과좌우문설주의피를보시면여호와께서그문을넘으시고멸하는자에게너희집에들어가서너희를치지못하게하실것임이니라
출12:24 너희는이일을규례로삼아너희와너희자손이영원히지킬것이니
출12:25 너희는여호와께서허락하신대로너희에게주시는땅에이를때에이예식을지킬것이라
출12:26 이후에너희의자녀가묻기를이예식이무슨뜻이냐하거든
출12:27 너희는이르기를이는여호와의유월절제사라여호와께서애굽사람에게재앙을내리실때에애굽에있는이스라엘자손의집을넘으사우리의집을구원하셨느니라하라하매백성이머리숙여경배하니라
출12:28 이스라엘자손이물러가서그대로행하되여호와께서모세와아론에게명령하신대로행하니라
출12:29 밤중에여호와께서애굽땅에서모든처음난것곧왕위에앉은바로의장자로부터옥에갇힌사람의장자까지와가축의처음난것을다치시매
출12:30 그밤에바로와그모든신하와모든애굽사람이일어나고애굽에큰부르짖음이있었으니이는그나라에죽임을당하지아니한집이하나도없었음이었더라
출12:31 밤에바로가모세와아론을불러서이르되너희와이스라엘자손은일어나내백성가운데에서떠나너희의말대로가서여호와를섬기며
출12:32 너희가말한대로너희양과너희소도몰아가고나를위하여축복하라하며
출12:33 애굽사람들은말하기를우리가다죽은자가되도다하고그백성을재촉하여그땅에서속히내보내려하므로
출12:34 그백성이발교되지못한반죽담은그릇을옷에싸서어깨에메니라
출12:35 이스라엘자손이모세의말대로하여애굽사람에게은금패물과의복을구하매
출12:36 여호와께서애굽사람들에게이스라엘백성에게은혜를입히게하사그들이구하는대로주게하시므로그들이애굽사람의물품을취하였더라
출12:37 이스라엘자손이라암셋을떠나서숙곳에이르니유아외에보행하는장정이육십만가량이요
출12:38 수많은잡족과양과소와심히많은가축이그들과함께하였으며
출12:39 그들이애굽으로부터가지고나온발교되지못한반죽으로무교병을구웠으니이는그들이애굽에서쫓겨나므로지체할수없었음이며아무양식도준비하지못하였음이었더라
출12:40 이스라엘자손이애굽에거주한지사백삼십년이라
출12:41 사백삼십년이끝나는그날에여호와의군대가다애굽땅에서나왔은즉
출12:42 이밤은그들을애굽땅에서인도하여내심으로말미암아여호와앞에지킬것이니이는여호와의밤이라이스라엘자손이다대대로지킬것이니라
출12:43 여호와께서모세와아론에게이르시되유월절규례는이러하니라이방사람은먹지못할것이나
출12:44 각사람이돈으로산종은할례를받은후에먹을것이며
출12:45 거류인과타국품꾼은먹지못하리라
출12:46 한집에서먹되그고기를조금도집밖으로내지말고뼈도꺾지말지며
출12:47 이스라엘회중이다이것을지킬지니라
출12:48 너희와함께거류하는타국인이여호와의유월절을지키고자하거든그모든남자는할례를받은후에야가까이하여지킬지니곧그는본토인과같이될것이나할례받지못한자는먹지못할것이니라
출12:49 본토인에게나너희중에거류하는이방인에게이법이동일하니라하셨으므로
출12:50 온이스라엘자손이이와같이행하되여호와께서모세와아론에게명령하신대로행하였으며
출12:51 바로그날에여호와께서이스라엘자손을그무리대로애굽땅에서인도하여내셨더라
출13:1 여호와께서모세에게일러이르시되
출13:2 이스라엘자손중에서사람이나짐승을막론하고태에서처음난모든것은다거룩히구별하여내게돌리라이는내것이니라하시니라
출13:3 모세가백성에게이르되너희는애굽곧종되었던집에서나온그날을기념하여유교병을먹지말라여호와께서그손의권능으로너희를그곳에서인도해내셨음이니라
출13:4 아빕월이날에너희가나왔으니
출13:5 여호와께서너를인도하여가나안사람과헷사람과아모리사람과히위사람과여부스사람의땅곧네게주시려고네조상들에게맹세하신바젖과꿀이흐르는땅에이르게하시거든너는이달에이예식을지켜
출13:6 이레동안무교병을먹고일곱째날에는여호와께절기를지키라
출13:7 이레동안에는무교병을먹고유교병을네게보이지아니하게하며네땅에서누룩을네게보이지아니하게하라
출13:8 너는그날에네아들에게보여이르기를이예식은내가애굽에서나올때에여호와께서나를위하여행하신일로말미암음이라하고
출13:9 이것으로네손의기호와네미간의표를삼고여호와의율법이네입에있게하라이는여호와께서강하신손으로너를애굽에서인도하여내셨음이니
출13:10 해마다절기가되면이규례를지킬지니라
출13:11 여호와께서너와네조상에게맹세하신대로너를가나안사람의땅에인도하시고그땅을네게주시거든
출13:12 너는태에서처음난모든것과네게있는가축의태에서처음난것을다구별하여여호와께돌리라수컷은여호와의것이니라
출13:13 나귀의첫새끼는다어린양으로대속할것이요그렇게하지아니하려면그목을꺾을것이며네아들중처음난모든자는대속할지니라
출13:14 후일에네아들이네게묻기를이것이어찌됨이냐하거든너는그에게이르기를여호와께서그손의권능으로우리를애굽에서곧종이되었던집에서인도하여내실새
출13:15 그때에바로가완악하여우리를보내지아니하매여호와께서애굽나라가운데처음난모든것은사람의장자로부터가축의처음난것까지다죽이셨으므로태에서처음난모든수컷들은내가여호와께제사를드려서내아들중에모든처음난자를다대속하리니
출13:16 이것이네손의기호와네미간의표가되리라이는여호와께서그손의권능으로우리를애굽에서인도하여내셨음이니라할지니라
출13:17 바로가백성을보낸후에블레셋사람의땅의길은가까울지라도하나님이그들을그길로인도하지아니하셨으니이는하나님이말씀하시기를이백성이전쟁을하게되면마음을돌이켜애굽으로돌아갈까하셨음이라
출13:18 그러므로하나님이홍해의광야길로돌려백성을인도하시매이스라엘자손이애굽땅에서대열을지어나올때에
출13:19 모세가요셉의유골을가졌으니이는요셉이이스라엘자손으로단단히맹세하게하여이르기를하나님이반드시너희를찾아오시리니너희는내유골을여기서가지고나가라하였음이더라
출13:20 그들이숙곳을떠나서광야끝에담에장막을치니
출13:21 여호와께서그들앞에서가시며낮에는구름기둥으로그들의길을인도하시고밤에는불기둥을그들에게비추사낮이나밤이나진행하게하시니
출13:22 낮에는구름기둥,밤에는불기둥이백성앞에서떠나지아니하니라
출14:1 여호와께서모세에게말씀하여이르시되
출14:2 이스라엘자손에게명령하여돌이켜바다와믹돌사이의비하히롯앞곧바알스본맞은편바닷가에장막을치게하라
출14:3 바로가이스라엘자손에대하여말하기를그들이그땅에서멀리떠나광야에갇힌바되었다하리라
출14:4 내가바로의마음을완악하게한즉바로가그들의뒤를따르리니내가그와그의온군대로말미암아영광을얻어애굽사람들이나를여호와인줄알게하리라하시매무리가그대로행하니라
출14:5 그백성이도망한사실이애굽왕에게알려지매바로와그의신하들이그백성에대하여마음이변하여이르되우리가어찌이같이하여이스라엘을우리를섬김에서놓아보내었는가하고
출14:6 바로가곧그의병거를갖추고그의백성을데리고갈새
출14:7 선발된병거육백대와애굽의모든병거를동원하니지휘관들이다거느렸더라
출14:8 여호와께서애굽왕바로의마음을완악하게하셨으므로그가이스라엘자손의뒤를따르니이스라엘자손이담대히나갔음이라
출14:9 애굽사람들과바로의말들,병거들과그마병과그군대가그들의뒤를따라바알스본맞은편비하히롯곁해변그들이장막친데에미치니라
출14:10 바로가가까이올때에이스라엘자손이눈을들어본즉애굽사람들이자기들뒤에이른지라이스라엘자손이심히두려워하여여호와께부르짖고
출14:11 그들이또모세에게이르되애굽에매장지가없어서당신이우리를이끌어내어이광야에서죽게하느냐어찌하여당신이우리를애굽에서이끌어내어우리에게이같이하느냐
출14:12 우리가애굽에서당신에게이른말이이것이아니냐이르기를우리를내버려두라우리가애굽사람을섬길것이라하지아니하더냐애굽사람을섬기는것이광야에서죽는것보다낫겠노라
출14:13 모세가백성에게이르되너희는두려워하지말고가만히서서여호와께서오늘너희를위하여행하시는구원을보라너희가오늘본애굽사람을영원히다시보지아니하리라
출14:14 여호와께서너희를위하여싸우시리니너희는가만히있을지니라
출14:15 여호와께서모세에게이르시되너는어찌하여내게부르짖느냐이스라엘자손에게명령하여앞으로나아가게하고
출14:16 지팡이를들고손을바다위로내밀어그것이갈라지게하라이스라엘자손이바다가운데서마른땅으로행하리라
출14:17 내가애굽사람들의마음을완악하게할것인즉그들이그뒤를따라들어갈것이라내가바로와그의모든군대와그의병거와마병으로말미암아영광을얻으리니
출14:18 내가바로와그의병거와마병으로말미암아영광을얻을때에야애굽사람들이나를여호와인줄알리라하시더니
출14:19 이스라엘진앞에가던하나님의사자가그들의뒤로옮겨가매구름기둥도앞에서그뒤로옮겨
출14:20 애굽진과이스라엘진사이에이르러서니저쪽에는구름과흑암이있고이쪽에는밤이밝으므로밤새도록저쪽이이쪽에가까이못하였더라
출14:21 모세가바다위로손을내밀매여호와께서큰동풍이밤새도록바닷물을물러가게하시니물이갈라져바다가마른땅이된지라
출14:22 이스라엘자손이바다가운데를육지로걸어가고물은그들의좌우에벽이되니
출14:23 애굽사람들과바로의말들,병거들과그마병들이다그들의뒤를추격하여바다가운데로들어오는지라
출14:24 새벽에여호와께서불과구름기둥가운데서애굽군대를보시고애굽군대를어지럽게하시며
출14:25 그들의병거바퀴를벗겨서달리기가어렵게하시니애굽사람들이이르되이스라엘앞에서우리가도망하자여호와가그들을위하여싸워애굽사람들을치는도다
출14:26 여호와께서모세에게이르시되네손을바다위로내밀어물이애굽사람들과그들의병거들과마병들위에다시흐르게하라하시니
출14:27 모세가곧손을바다위로내밀매새벽이되어바다의힘이회복된지라애굽사람들이물을거슬러도망하나여호와께서애굽사람들을바다가운데엎으시니
출14:28 물이다시흘러병거들과기병들을덮되그들의뒤를따라바다에들어간바로의군대를다덮으니하나도남지아니하였더라
출14:29 그러나이스라엘자손은바다가운데를육지로행하였고물이좌우에벽이되었더라
출14:30 그날에여호와께서이같이이스라엘을애굽사람의손에서구원하시매이스라엘이바닷가에서애굽사람들이죽어있는것을보았더라
출14:31 이스라엘이여호와께서애굽사람들에게행하신그큰능력을보았으므로백성이여호와를경외하며여호와와그의종모세를믿었더라
출15:1 이때에모세와이스라엘자손이이노래로여호와께노래하니일렀으되내가여호와를찬송하리니그는높고영화로우심이요말과그탄자를바다에던지셨음이로다
출15:2 여호와는나의힘이요노래시며나의구원이시로다그는나의하나님이시니내가그를찬송할것이요내아버지의하나님이시니내가그를높이리로다
출15:3 여호와는용사시니여호와는그의이름이시로다
출15:4 그가바로의병거와그의군대를바다에던지시니최고의지휘관들이홍해에잠겼고
출15:5 깊은물이그들을덮으니그들이돌처럼깊음속에가라앉았도다
출15:6 여호와여주의오른손이권능으로영광을나타내시니이다여호와여주의오른손이원수를부수시니이다
출15:7 주께서주의큰위엄으로주를거스르는자를엎으시니이다주께서진노를발하시니그진노가그들을지푸라기같이사르니이다
출15:8 주의콧김에물이쌓이되파도가언덕같이일어서고큰물이바다가운데엉기니이다
출15:9 원수가말하기를내가뒤쫓아따라잡아탈취물을나누리라,내가그들로말미암아내욕망을채우리라,내가내칼을빼리니내손이그들을멸하리라하였으나
출15:10 주께서바람을일으키시매바다가그들을덮으니그들이거센물에납같이잠겼나이다
출15:11 여호와여신중에주와같은자가누구니이까주와같이거룩함으로영광스러우며찬송할만한위엄이있으며기이한일을행하는자가누구니이까
출15:12 주께서오른손을드신즉땅이그들을삼켰나이다
출15:13 주의인자하심으로주께서구속하신백성을인도하시되주의힘으로그들을주의거룩한처소에들어가게하시나이다
출15:14 여러나라가듣고떨며블레셋주민이두려움에잡히며
출15:15 에돔두령들이놀라고모압영웅이떨림에잡히며가나안주민이다낙담하나이다
출15:16 놀람과두려움이그들에게임하매주의팔이크므로그들이돌같이침묵하였사오니여호와여주의백성이통과하기까지곧주께서사신백성이통과하기까지였나이다
출15:17 주께서백성을인도하사그들을주의기업의산에심으시리이다여호와여이는주의처소를삼으시려고예비하신것이라주여이것이주의손으로세우신성소로소이다
출15:18 여호와께서영원무궁하도록다스리시도다하였더라
출15:19 바로의말과병거와마병이함께바다에들어가매여호와께서바닷물을그들위에되돌려흐르게하셨으나이스라엘자손은바다가운데서마른땅으로지나간지라
출15:20 아론의누이선지자미리암이손에소고를잡으매모든여인도그를따라나오며소고를잡고춤추니
출15:21 미리암이그들에게화답하여이르되너희는여호와를찬송하라그는높고영화로우심이요말과그탄자를바다에던지셨음이로다하였더라
출15:22 모세가홍해에서이스라엘을인도하매그들이나와서수르광야로들어가서거기서사흘길을걸었으나물을얻지못하고
출15:23 마라에이르렀더니그곳물이써서마시지못하겠으므로그이름을마라라하였더라
출15:24 백성이모세에게원망하여이르되우리가무엇을마실까하매
출15:25 모세가여호와께부르짖었더니여호와께서그에게한나무를가리키시니그가물에던지니물이달게되었더라거기서여호와께서그들을위하여법도와율례를정하시고그들을시험하실새
출15:26 이르시되너희가너희하나님나여호와의말을들어순종하고내가보기에의를행하며내계명에귀를기울이며내모든규례를지키면내가애굽사람에게내린모든질병중하나도너희에게내리지아니하리니나는너희를치료하는여호와임이라
출15:27 그들이엘림에이르니거기에물샘열둘과종려나무일흔그루가있는지라거기서그들이그물곁에장막을치니라
출16:1 이스라엘자손의온회중이엘림에서떠나엘림과시내산사이에있는신광야에이르니애굽에서나온후둘째달십오일이라
출16:2 이스라엘자손온회중이그광야에서모세와아론을원망하여
출16:3 이스라엘자손이그들에게이르되우리가애굽땅에서고기가마곁에앉아있던때와떡을배불리먹던때에여호와의손에죽었더라면좋았을것을너희가이광야로우리를인도해내어이온회중이주려죽게하는도다
출16:4 그때에여호와께서모세에게이르시되보라내가너희를위하여하늘에서양식을비같이내리리니백성이나가서일용할것을날마다거둘것이라이같이하여그들이내율법을준행하나아니하나내가시험하리라
출16:5 여섯째날에는그들이그거둔것을준비할지니날마다거두던것의갑절이되리라
출16:6 모세와아론이온이스라엘자손에게이르되저녁이되면너희가여호와께서너희를애굽땅에서인도하여내셨음을알것이요
출16:7 아침에는너희가여호와의영광을보리니이는여호와께서너희가자기를향하여원망함을들으셨음이라우리가누구이기에너희가우리에게대하여원망하느냐
출16:8 모세가또이르되여호와께서저녁에는너희에게고기를주어먹이시고아침에는떡으로배불리시리니이는여호와께서자기를향하여너희가원망하는그말을들으셨음이라우리가누구냐너희의원망은우리를향하여함이아니요여호와를향하여함이로다
출16:9 모세가또아론에게이르되이스라엘자손의온회중에게말하기를여호와께가까이나아오라여호와께서너희의원망함을들으셨느니라하라
출16:10 아론이이스라엘자손의온회중에게말하매그들이광야를바라보니여호와의영광이구름속에나타나더라
출16:11 여호와께서모세에게말씀하여이르시되
출16:12 내가이스라엘자손의원망함을들었노라그들에게말하여이르기를너희가해질때에는고기를먹고아침에는떡으로배부르리니내가여호와너희의하나님인줄알리라하라하시니라
출16:13 저녁에는메추라기가와서진에덮이고아침에는이슬이진주위에있더니
출16:14 그이슬이마른후에광야지면에작고둥글며서리같이가는것이있는지라
출16:15 이스라엘자손이보고그것이무엇인지알지못하여서로이르되이것이무엇이냐하니모세가그들에게이르되이는여호와께서너희에게주어먹게하신양식이라
출16:16 여호와께서이같이명령하시기를너희각사람은먹을만큼만이것을거둘지니곧너희사람수효대로한사람에한오멜씩거두되각사람이그의장막에있는자들을위하여거둘지니라하셨느니라
출16:17 이스라엘자손이그같이하였더니그거둔것이많기도하고적기도하나
출16:18 오멜로되어본즉많이거둔자도남음이없고적게거둔자도부족함이없이각사람은먹을만큼만거두었더라
출16:19 모세가그들에게이르기를아무든지아침까지그것을남겨두지말라하였으나
출16:20 그들이모세에게순종하지아니하고더러는아침까지두었더니벌레가생기고냄새가난지라모세가그들에게노하니라
출16:21 무리가아침마다각사람은먹을만큼만거두었고햇볕이뜨겁게쬐면그것이스러졌더라
출16:22 여섯째날에는각사람이갑절의식물곧하나에두오멜씩거둔지라회중의모든지도자가와서모세에게알리매
출16:23 모세가그들에게이르되여호와께서이같이말씀하셨느니라내일은휴일이니여호와께거룩한안식일이라너희가구울것은굽고삶을것은삶고그나머지는다너희를위하여아침까지간수하라
출16:24 그들이모세의명령대로아침까지간수하였으나냄새도나지아니하고벌레도생기지아니한지라
출16:25 모세가이르되오늘은그것을먹으라오늘은여호와의안식일인즉오늘은너희가들에서그것을얻지못하리라
출16:26 엿새동안은너희가그것을거두되일곱째날은안식일인즉그날에는없으리라하였으나
출16:27 일곱째날에백성중어떤사람들이거두러나갔다가얻지못하니라
출16:28 여호와께서모세에게이르시되어느때까지너희가내계명과내율법을지키지아니하려느냐
출16:29 볼지어다여호와가너희에게안식일을줌으로여섯째날에는이틀양식을너희에게주는것이니너희는각기처소에있고일곱째날에는아무도그의처소에서나오지말지니라
출16:30 그러므로백성이일곱째날에안식하니라
출16:31 이스라엘족속이그이름을만나라하였으며깟씨같이희고맛은꿀섞은과자같았더라
출16:32 모세가이르되여호와께서이같이명령하시기를이것을오멜에채워서너희의대대후손을위하여간수하라이는내가너희를애굽땅에서인도하여낼때에광야에서너희에게먹인양식을그들에게보이기위함이니라하셨다하고
출16:33 또모세가아론에게이르되항아리를가져다가그속에만나한오멜을담아여호와앞에두어너희대대로간수하라
출16:34 아론이여호와께서모세에게명령하신대로그것을증거판앞에두어간수하게하였고
출16:35 사람이사는땅에이르기까지이스라엘자손이사십년동안만나를먹었으니곧가나안땅접경에이르기까지그들이만나를먹었더라
출16:36 오멜은십분의일에바이더라
출17:1 이스라엘자손의온회중이여호와의명령대로신광야에서떠나그노정대로행하여르비딤에장막을쳤으나백성이마실물이없는지라
출17:2 백성이모세와다투어이르되우리에게물을주어마시게하라모세가그들에게이르되너희가어찌하여나와다투느냐너희가어찌하여여호와를시험하느냐
출17:3 거기서백성이목이말라물을찾으매그들이모세에게대하여원망하여이르되당신이어찌하여우리를애굽에서인도해내어서우리와우리자녀와우리가축이목말라죽게하느냐
출17:4 모세가여호와께부르짖어이르되내가이백성에게어떻게하리이까그들이조금있으면내게돌을던지겠나이다
출17:5 여호와께서모세에게이르시되백성앞을지나서이스라엘장로들을데리고나일강을치던네지팡이를손에잡고가라
출17:6 내가호렙산에있는그반석위거기서네앞에서리니너는그반석을치라그것에서물이나오리니백성이마시리라모세가이스라엘장로들의목전에서그대로행하니라
출17:7 그가그곳이름을맛사또는므리바라불렀으니이는이스라엘자손이다투었음이요또는그들이여호와를시험하여이르기를여호와께서우리중에계신가안계신가하였음이더라
출17:8 그때에아말렉이와서이스라엘과르비딤에서싸우니라
출17:9 모세가여호수아에게이르되우리를위하여사람들을택하여나가서아말렉과싸우라내일내가하나님의지팡이를손에잡고산꼭대기에서리라
출17:10 여호수아가모세의말대로행하여아말렉과싸우고모세와아론과훌은산꼭대기에올라가서
출17:11 모세가손을들면이스라엘이이기고손을내리면아말렉이이기더니
출17:12 모세의팔이피곤하매그들이돌을가져다가모세의아래에놓아그가그위에앉게하고아론과훌이한사람은이쪽에서,한사람은저쪽에서모세의손을붙들어올렸더니그손이해가지도록내려오지아니한지라
출17:13 여호수아가칼날로아말렉과그백성을쳐서무찌르니라
출17:14 여호와께서모세에게이르시되이것을책에기록하여기념하게하고여호수아의귀에외워들리라내가아말렉을없이하여천하에서기억도못하게하리라
출17:15 모세가제단을쌓고그이름을여호와닛시라하고
출17:16 이르되여호와께서맹세하시기를여호와가아말렉과더불어대대로싸우리라하셨다하였더라
출18:1 모세의장인이며미디안제사장인이드로가하나님이모세에게와자기백성이스라엘에게하신일곧여호와께서이스라엘을애굽에서인도하여내신모든일을들으니라
출18:2 모세의장인이드로가모세가돌려보냈던그의아내십보라와
출18:3 그의두아들을데리고왔으니그하나의이름은게르솜이라이는모세가이르기를내가이방에서나그네가되었다함이요
출18:4 하나의이름은엘리에셀이라이는내아버지의하나님이나를도우사바로의칼에서구원하셨다함이더라
출18:5 모세의장인이드로가모세의아들들과그의아내와더불어광야에들어와모세에게이르니곧모세가하나님의산에진친곳이라
출18:6 그가모세에게말을전하되네장인나이드로가네아내와그와함께한그의두아들과더불어네게왔노라
출18:7 모세가나가서그의장인을맞아절하고그에게입맞추고그들이서로문안하고함께장막에들어가서
출18:8 모세가여호와께서이스라엘을위하여바로와애굽사람에게행하신모든일과길에서그들이당한모든고난과여호와께서그들을구원하신일을다그장인에게말하매
출18:9 이드로가여호와께서이스라엘에게큰은혜를베푸사애굽사람의손에서구원하심을기뻐하여
출18:10 이드로가이르되여호와를찬송하리로다너희를애굽사람의손에서와바로의손에서건져내시고백성을애굽사람의손아래에서건지셨도다
출18:11 이제내가알았도다여호와는모든신보다크시므로이스라엘에게교만하게행하는그들을이기셨도다하고
출18:12 모세의장인이드로가번제물과희생제물들을하나님께가져오매아론과이스라엘모든장로가와서모세의장인과함께하나님앞에서떡을먹으니라
출18:13 이튿날모세가백성을재판하느라고앉아있고백성은아침부터저녁까지모세곁에서있는지라
출18:14 모세의장인이모세가백성에게행하는모든일을보고이르되네가이백성에게행하는이일이어찌됨이냐어찌하여네가홀로앉아있고백성은아침부터저녁까지네곁에서있느냐
출18:15 모세가그의장인에게대답하되백성이하나님께물으려고내게로옴이라
출18:16 그들이일이있으면내게로오나니내가그양쪽을재판하여하나님의율례와법도를알게하나이다
출18:17 모세의장인이그에게이르되네가하는것이옳지못하도다
출18:18 너와또너와함께한이백성이필경기력이쇠하리니이일이네게너무중함이라네가혼자할수없으리라
출18:19 이제내말을들으라내가네게방침을가르치리니하나님이너와함께계실지로다너는하나님앞에서그백성을위하여그사건들을하나님께가져오며
